# Sello · fecha: 2026-09-20 · commit: 077caeb+cambios-sin-commit · alcance: registro completo, una fila por Cita: 149 citas de 15 fuentes · suite: 2070 passed, 8 skipped (PyMuPDF sí · ventana Tk no)
cita_id,fuente_id,norma,edicion,numeral,titulo_numeral,pagina_impresa,pagina_pdf,caracter,metodo_verificacion,fecha_verificacion,tiene_interpretacion,discrepancias_que_la_tocan,consumidores_declarados
AASHTO_LRFD_9.10.5.4.2,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",10.5.4.2,Liquefaction Design Requirements,10-34,1323,exigencia,texto,2026-08-29,no,DIS-HR-VIA-DE-LA-LICUEFACCION [resuelta],
AASHTO_LRFD_9.10.5.4.2#ESPECTRO,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020","10.5.4.2, configuracion licuada",Liquefaction Design Requirements,10-34,1323,recomendacion,texto,2026-08-29,no,DIS-HR-VIA-DE-LA-LICUEFACCION [resuelta],
AASHTO_LRFD_9.11.6.3.3#EXC,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",11.6.3.3,Eccentricity Limits,11-24,1493,exigencia,texto,2026-09-12,no,DIS-MP-NUMERAL-2.3.1.1.12.3 [errata_de_imprenta],
AASHTO_LRFD_9.11.6.5.1#EXC,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",11.6.5.1,General,11-25,1494,exigencia,texto,2026-08-28,no,DIS-MP-EXCENTRICIDAD [errata_de_imprenta],
AASHTO_LRFD_9.11.6.5.2.1#ROCA,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",11.6.5.2.1,Characterization of Acceleration at Wall Base,11-27,1496,exigencia,texto,2026-08-28,no,DIS-MP-KH0-ROCA [errata_de_imprenta],
AASHTO_LRFD_9.12.6.1#FLOTACION,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",12.6.1,Loading,12-14,1652,exigencia,texto,2026-08-28,no,,fundamento F5.V7 (Fase 5 - Verificaciones)
AASHTO_LRFD_9.12.6.1#GAMMA_EV_MAX,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",12.6.1,Loading,12-14,1652,exigencia,texto,2026-08-28,no,DIS-AASHTO-GAMMA-EV-12.6.1 [abierta],fundamento F5.V7 (Fase 5 - Verificaciones)
AASHTO_LRFD_9.12.6.2.3#UPLIFT,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",12.6.2.3,Uplift,12-19,1657,exigencia,texto,2026-08-28,no,,fundamento F5.V7 (Fase 5 - Verificaciones)
AASHTO_LRFD_9.12.6.6.3#COBERTURA,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",12.6.6.3,Minimum Cover,12-21,1659,exigencia,ambos,2026-08-28,no,DIS-HR-H-RELLENO-MIN [resuelta],fundamento F7.RELLENO (Fase 7 - Compatibilidad geometrica)
AASHTO_LRFD_9.3.10.2#CLASE_F,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",3.10.2,Seismic Hazard,3-71,125,exigencia,texto,2026-08-29,no,,
AASHTO_LRFD_9.3.10.2.2,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",3.10.2.2,Site-Specific Procedure,3-100,154,exigencia,texto,2026-08-28,no,,
AASHTO_LRFD_9.3.10.3.1,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",3.10.3.1,Site Class Definitions,3-101,155,exigencia,texto,2026-08-29,no,DIS-HR-30M-VS-100FT [resuelta],
AASHTO_LRFD_9.3.10.3.1#EXCEPCIONES,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020","3.10.3.1, nota «Exceptions» al pie de la Tabla 3.10.3.1-1",Site Class Definitions,3-102,156,exigencia,texto,2026-08-29,no,DIS-HR-CLASE-DE-SITIO-F [resuelta],
AASHTO_LRFD_9.3.10.3.1#INVESTIGACION,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020","3.10.3.1, nota «Exceptions» al pie de la Tabla 3.10.3.1-1",Site Class Definitions,3-102,156,exigencia,texto,2026-08-29,no,,
AASHTO_LRFD_9.3.11.3,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",3.11.3,Presence of Water,3-118,172,exigencia,texto,2026-08-28,no,,
AASHTO_LRFD_9.3.11.6.4,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",3.11.6.4,Live Load Surcharge (LS),3-151,205,exigencia,ambos,2026-08-28,no,DIS-HR-H-EQ [resuelta],
AASHTO_LRFD_9.3.11.6.4#ALTURA,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",3.11.6.4,Live Load Surcharge (LS),3-151,205,exigencia,ambos,2026-08-28,no,,
AASHTO_LRFD_9.3.11.6.4#APLICA,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",3.11.6.4,Live Load Surcharge (LS),3-151,205,exigencia,ambos,2026-08-28,no,,
AASHTO_LRFD_9.3.7.2,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",3.7.2,Buoyancy,3-45,99,exigencia,texto,2026-08-28,no,,fundamento F5.V7 (Fase 5 - Verificaciones)
AASHTO_LRFD_9.5.10.1,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",5.10.1,Concrete Cover,5-167,526,exigencia,ambos,2026-08-28,no,,
AASHTO_LRFD_9.5.10.1#ESTRIBOS,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",5.10.1,Concrete Cover,5-168,527,permiso,ambos,2026-08-28,no,,
AASHTO_LRFD_9.5.10.1#PISO,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",5.10.1,Concrete Cover,5-168,527,exigencia,ambos,2026-08-28,no,,
AASHTO_LRFD_9.A11.3.1#KAE,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020","A11.3.1, ec. A11.3.1-1",Mononobe–Okabe Method,11-145,1614,aproximacion,imagen renderizada,2026-08-28,no,DIS-MP-KAE-SIGNO [errata_de_imprenta],
AASHTO_LRFD_9.C12.6.2.3,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",C12.6.2.3,Uplift,12-19,1657,recomendacion,texto,2026-08-28,no,,fundamento F5.V7 (Fase 5 - Verificaciones)
AASHTO_LRFD_9.C3.11.6.4,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",C3.11.6.4,Live Load Surcharge (LS),3-151,205,definicion,ambos,2026-08-28,no,,
AASHTO_LRFD_9.C3.4.1#GAMMA_EQ,AASHTO_LRFD_9,AASHTO LRFD Bridge Design Specifications,"Ninth Edition, 2020",C3.4.1,3.4.1-Load Factors and Load Combinations,3-10,64,recomendacion,ambos,2026-08-28,no,,
